country,year,month,temperature_celsius,humidity,precip_mm,wind_mps,temp_z,precip_pctile,extreme_temp,extreme_precip,reason
Lebanon,2025,2025-02-01,14.821428571428571,54.5,5.72,3.893849206349206,-2.1770064206213586,1.0,True,True,temp_z=-2.18; precip_pctile=1.00
Lesotho,2024,2024-12-01,29.248387096774195,26.64516129032258,1.35,5.299283154121864,1.8832978527973347,0.8333333333333334,True,False,temp_z=1.88
Lesotho,2025,2025-04-01,16.95,67.86666666666666,8.27,2.6222222222222222,-0.3934277966290272,1.0,False,True,precip_pctile=1.00
Lesotho,2025,2025-06-01,10.623333333333333,50.93333333333333,0.07,2.632407407407407,-1.5646451409870448,0.2777777777777778,True,False,temp_z=-1.56
Lesotho,2025,2025-07-01,10.729032258064517,56.903225806451616,0.37,2.539426523297491,-1.545077741525745,0.5555555555555556,True,False,temp_z=-1.55
Letonia,2024,2024-07-01,20.6,94.0,1.83,3.6944444444444446,,1.0,False,True,precip_pctile=1.00
Liberia,2024,2024-05-01,30.705882352941178,74.58823529411765,2.01,3.8202614379084965,2.4589765586451833,0.2777777777777778,True,False,temp_z=2.46
Liberia,2024,2024-09-01,25.896666666666665,86.9,28.32,3.2203703703703703,-0.4204799922042562,1.0,False,True,precip_pctile=1.00
Libya,2024,2024-06-01,27.0,74.0,0.0,8.805555555555555,,1.0,False,True,precip_pctile=1.00
Liechtenstein,2024,2024-12-01,-0.5870967741935483,89.06451612903226,4.08,2.0044802867383513,-1.7971662891235822,0.5,True,False,temp_z=-1.80
Liechtenstein,2025,2025-07-01,19.06451612903226,76.2258064516129,20.07,1.3915770609318996,0.8477124880444843,1.0,False,True,precip_pctile=1.00
Lithuania,2024,2024-07-01,23.349999999999998,57.857142857142854,18.41,4.10515873015873,1.250565174738627,1.0,False,True,precip_pctile=1.00
Lithuania,2025,2025-02-01,-2.8857142857142857,73.67857142857143,0.33,3.7876984126984126,-1.8748238859750006,0.1111111111111111,True,False,temp_z=-1.87
Luxembourg,2024,2024-06-01,18.92758620689655,63.724137931034484,7.54,4.10823754789272,0.9374889924153058,1.0,False,True,precip_pctile=1.00
Luxembourg,2024,2024-08-01,23.04516129032258,62.193548387096776,3.8899999999999997,3.8817204301075265,1.5727952124163573,0.7777777777777778,True,False,temp_z=1.57
Luxembourg,2025,2025-01-01,2.3838709677419354,88.29032258064517,6.54,4.223118279569892,-1.6150631724904503,0.9444444444444444,True,False,temp_z=-1.62
Luxembourg,2025,2025-02-01,2.5535714285714284,82.60714285714286,0.22,3.488095238095238,-1.5888798592253242,0.1111111111111111,True,False,temp_z=-1.59
Macedonia,2024,2024-08-01,35.97096774193548,22.29032258064516,0.19,2.855734767025089,1.5715766944663516,0.2777777777777778,True,False,temp_z=1.57
Macedonia,2024,2024-09-01,26.38,43.03333333333333,3.7800000000000002,2.257407407407407,0.6076369844242615,1.0,False,True,precip_pctile=1.00
Macedonia,2025,2025-01-01,5.145161290322581,77.96774193548387,1.7699999999999998,1.2724014336917562,-1.5265693667344469,0.7222222222222222,True,False,temp_z=-1.53
Madagascar,2024,2024-12-01,33.24354838709677,30.548387096774192,2.38,2.7150537634408605,1.8974109518982123,0.7222222222222222,True,False,temp_z=1.90
Madagascar,2025,2025-02-01,28.96727272727273,55.41818181818182,21.92,2.9474747474747476,0.8320964882170889,1.0,False,True,precip_pctile=1.00
Malawi,2024,2024-12-01,30.809677419354838,36.38709677419355,2.46,3.657706093189964,2.0358715489244528,0.7777777777777778,True,False,temp_z=2.04
Malawi,2025,2025-02-01,24.442857142857143,72.35714285714286,14.27,2.7410714285714284,-0.0003730006399444911,1.0,False,True,precip_pctile=1.00
Malawi,2025,2025-10-01,19.0,56.75,0.1,3.770833333333333,-1.7411144869532842,0.5,True,False,temp_z=-1.74
Malaysia,2025,2025-03-01,30.154838709677417,72.06451612903226,30.08,1.5456989247311828,0.21543487075563575,1.0,False,True,precip_pctile=1.00
Malaysia,2025,2025-06-01,32.52333333333333,60.56666666666667,10.25,2.1694444444444447,1.5184876609602227,0.2777777777777778,True,False,temp_z=1.52
Malaysia,2025,2025-07-01,33.277419354838706,55.58064516129032,7.4,2.7114695340501793,1.933356195835817,0.2222222222222222,True,False,temp_z=1.93
Maldives,2025,2025-01-01,27.20967741935484,75.7741935483871,13.94,5.289426523297491,-1.727237434205676,1.0,True,True,temp_z=-1.73; precip_pctile=1.00
